time_days,Sb130 top 14
0.05902488686618227,191112615069.08514
0.05912875827465584,190613292310.73508
0.059232812475000174,190115134921.6826
0.059337049788890796,189620649702.0669
0.059441470538568894,189125294292.2835
0.05954607504684316,188629067160.9794
0.05965086363708992,188131966774.10873
0.05975583663325502,187635693513.5988
0.05986099435985394,187143409204.61996
0.05996633714197367,186650258578.61307
0.06007186530527287,186156240111.04297
0.060177579175983695,185661352274.68982
0.06028347908091199,185167246572.66434
0.06038956534743916,184677153441.5524
0.06049583830352223,184186197849.42642
0.06060229827769588,183694378278.53503
0.06070894559907244,183201693208.45804
0.060815780597343876,182710029611.1558
0.06092280360278192,182222117962.2666
0.06103001494623991,181733347691.31308
0.061137414959153,181243717287.30164
0.06124500397354006,180753225236.57767
0.06135278232200377,180264269595.04425
0.06146075033773246,179778529770.366
0.06156890835450081,179291935145.578
0.06167725670667053,178804484216.4126
0.061785795729192204,178316175475.95267
0.06189452575760538,177830185131.3464
0.062003447128040554,177346607510.9313
0.0621125601772193,176862178895.43295
0.06222186524245616,176376897787.2778
0.06233136266165888,175890762686.25864
0.06244105277333028,175407986651.9668
0.06255093591656842,174926561654.29214
0.06266101243106854,174444289449.6975
0.06277128265712326,173961168547.2774
0.06288174693562446,173477197453.5009
0.06299240560806348,172997876594.07626
0.06310325901653306,172518594676.33887
0.0632143075037275,172038469323.05313
0.06332555141294463,171557499049.94846
0.06343699108808595,171076359712.87927
0.06354862687365864,170600049577.0794
0.06366045911477562,170122901235.44342
0.06377248815715764,169644913212.9041
0.06388471434713337,169166084031.80032
0.06399713803164145,168688882332.0404
0.06410975955823052,168214692576.2426
0.06422257927506135,167739668346.0314
0.06433559753090695,167263808172.9079
0.0644488146751545,166787110585.78717
0.06456223105780559,166314174116.43167
0.06467584702947826,165842249970.16318
0.064789662941407,165369495336.47934
0.06490367914544495,164895908753.89566
0.06501789599406393,164421488758.3577
0.0651323138403565,163952389148.67856
0.06524693303803614,163482719730.23764
0.06536175394143924,163012223792.22787
0.06547677690552531,162540899880.1495
0.06559200228587896,162070313034.0969
0.06570743043871007,161603708646.60715
0.06582306172085586,161136283133.3596
0.06593889648978107,160668035049.34625
0.06605493510357993,160198962947.01434
0.06617117792097638,159732681273.45648
0.06628762530132612,159268306104.2135
0.06640427760461676,158803113732.16977
0.06652113519146989,158337102719.219
0.06663819842314124,157870271624.726
0.06675546766152275,157408504111.30927
0.06687294326914277,156946347473.36145
0.06699062560916802,156483377536.76126
0.06710851504540394,156019592870.27466
0.06722661194229658,155557080822.15482
0.06734491666493292,155097940077.59113
0.06746342957904287,154637991341.7142
0.06758215105099948,154177233192.62985
0.06770108144782098,153715664205.94
0.0678202211371711,153258087787.1029
0.0679395704873609,152801140512.68652
0.06805912986734927,152343389107.00476
0.06817889964674477,151884832154.9545
0.06829888019580595,151426979455.6891
0.0684190718854434,150973014038.8181
0.06853947508721996,150518249738.125
0.06866009017335284,150062685147.741
0.06878091751671378,149606318859.3253
0.06890195749083106,149153793690.192
0.06902321046989028,148701996990.66275
0.06914467682873518,148249405223.7986
0.06926635694286963,147796016990.44696
0.06938825118845782,147343654184.74683
0.06951035994232639,146894805716.1773
0.06963268358196462,146445167368.54028
0.06975522248552662,145994737751.81354
0.06987797703183143,145543515473.5306
0.07000094760036527,145097135939.0822
0.07012413457128165,144650765487.60443
0.07024753832540356,144203609517.84814
0.07037115924422371,143755666647.46695
0.07049499770990662,143308543888.9777
0.07061905410528883,142865527072.64575
0.07074332881388111,142421730639.7291
0.07086782221986863,141977153218.26697
0.07099253470811313,141531793433.88266
0.07111746666415315,141089372836.04605
0.07124261847420617,140648910712.4449
0.07136799052516885,140207673467.98273
0.07149358320461918,139765659738.60864
0.07161939690081677,139322868157.87305
0.0717454320027049,138885353190.2378
0.07187168889991087,138447431040.0947
0.07199816798274813,138008738238.9096
0.07212486964221647,137569273430.4995
0.0722517942700043,137131253047.42258
0.07237894225848882,136696621096.7955
0.07250631400073815,136261224285.18686
0.07263390989051173,135825061266.60277
0.0727617303222624,135388130692.67899
0.07288977569113662,134955430527.08534
0.07301804639297677,134523304953.28886
0.0731465428243213,134090418929.20871
0.073275265382407,133656771116.61111
0.0734042144651692,133224038150.58142
0.07353339047124403,132795159248.32527
0.07366279379996865,132365525609.2457
0.0737924248513834,131935135905.1635
0.07392228402623219,131503988805.56383
0.0740523717259646,131076958304.27448
0.0741826883527362,130650552625.15729
0.07431323430941077,130223396561.56927
0.07444400999956052,129795488792.9922
0.07457501582746844,129368865579.464
0.07470625219812835,128945663618.38878
0.07483771951724737,128521716910.71378
0.07496941819124604,128097024145.84236
0.07510134862726066,127671584010.86948
0.07523351123314342,127251014744.82404
0.07536590641746484,126830253290.5769
0.07549853458951383,126408751384.51054
0.07563139615930019,125986507723.58437
0.07576449153755463,125566754862.24873
0.07589782113573126,125149154739.70312
0.0760313853660077,124730819728.61845
0.07616518464128744,124311748535.74422
0.07629921937520007,123893025713.9145
0.07643348998210361,123478563180.77225
0.07656799687708475,123063371280.58951
0.07670274047596115,122647448729.83249
0.07683772119528172,122230794242.71046
0.07697293945232891,121818613600.34529
0.077108395665119,121406541205.40477
0.07724409025240424,120993743649.56468
0.07738002363367384,120580219656.6937
0.07751619622915482,120169434224.86197
0.07765260845981424,119760457906.6059
0.07778926074735942,119350761875.89563
0.07792615351424034,118940344866.18756
0.0780632871836499,118531146692.9516
0.07820066217952622,118125243198.61615
0.07833827892655294,117718625399.35143
0.07847613785016162,117311292038.12994
0.07861423937653192,116903866224.13858
0.07875258393259403,116501012475.4527
