time_days,Re188 top 16
1.7786753289656925e-05,3.0225732798965105e-10
1.7818054241076895e-05,3.183748058906263e-10
1.7849410275599655e-05,3.3570001061831733e-10
1.7880821490159905e-05,3.5368314901155457e-10
1.7912287981862922e-05,3.7239837022975717e-10
1.7943809847984877e-05,3.924625819291005e-10
1.7975387185973116e-05,4.132897346711072e-10
1.800702009344648e-05,4.349743352267745e-10
1.8038708668195597e-05,4.581900136152901e-10
1.807045300818318e-05,4.822901323604329e-10
1.8102253211544347e-05,5.073619976921576e-10
1.81341093765869e-05,5.3419967343275e-10
1.8166021601791657e-05,5.62062145588424e-10
1.8197989985812724e-05,5.909902310866338e-10
1.8230014627477838e-05,6.219858352568057e-10
1.826209562578863e-05,6.541680959659091e-10
1.8294233079920973e-05,6.875556424509311e-10
1.8326427089225256e-05,7.232406053364283e-10
1.835867775322671e-05,7.603765482217274e-10
1.83909851716257e-05,7.989093191643011e-10
1.842334944429806e-05,8.398768933301504e-10
1.8455770671295368e-05,8.826861394749336e-10
1.848824895284528e-05,9.271124984969125e-10
1.8520784389351827e-05,9.740535779522782e-10
1.855337708139574e-05,1.0233516861129878e-09
1.858602712973474e-05,1.0745197239643058e-09
1.861873463530386e-05,1.128203065911848e-09
1.8651499699215764e-05,1.1849127338889505e-09
1.868432242276106e-05,1.2437818689337907e-09
1.8717202907408585e-05,1.3050613383831061e-09
1.8750141254805753e-05,1.3702246760919534e-09
1.8783137566778864e-05,1.4379399087362588e-09
1.881619194533339e-05,1.5080857476259542e-09
1.8849304492654335e-05,1.5827490423458234e-09
1.8882475311106503e-05,1.660367933840751e-09
1.891570450323486e-05,1.7407968432199333e-09
1.894899217176482e-05,1.8258924814345465e-09
1.8982338419602568e-05,1.91478802347693e-09
1.9015743349835387e-05,2.0069268800706974e-09
1.9049207065731976e-05,2.103708203746437e-09
1.9082729670742757e-05,2.205423511628058e-09
1.9116311268500214e-05,2.310875808875766e-09
1.9149951962819184e-05,2.420721945701498e-09
1.9183651857697217e-05,2.5369886881667607e-09
1.9217411057314864e-05,2.657553554052299e-09
1.925122966603602e-05,2.782605202212423e-09
1.9285107788408223e-05,2.9159536107468392e-09
1.9319045529163016e-05,3.0536900200352426e-09
1.9353042993216232e-05,3.1967763189594224e-09
1.9387100285668332e-05,3.348299859118606e-09
1.9421217511804743e-05,3.5040460271113447e-09
1.9455394777096165e-05,3.668243934364211e-09
1.9489632187198904e-05,3.839936256064548e-09
1.9523929847955194e-05,4.016501019283318e-09
1.955828786539355e-05,4.204887909587852e-09
1.959270634572905e-05,4.397701348667615e-09
1.96271853953637e-05,4.60114790290249e-09
1.9661725120886754e-05,4.8127234505500075e-09
1.969632562907503e-05,5.031108106456145e-09
1.9730987026893265e-05,5.263031959127841e-09
1.9765709421494417e-05,5.500533899393368e-09
1.980049292022002e-05,5.751284007883733e-09
1.9835337630600506e-05,6.011613576262531e-09
1.987024366035553e-05,6.280306484033177e-09
1.990521111739433e-05,6.565349750068852e-09
1.9940240109816014e-05,6.8574218814687855e-09
1.9975330745909946e-05,7.164878329796024e-09
2.001048313415604e-05,7.484630343104653e-09
2.0045697383225124e-05,7.813531517375459e-09
2.0080973601979257e-05,8.163199529344332e-09
2.0116311899472072e-05,8.522440702769283e-09
2.0151712384949117e-05,8.899967000895573e-09
2.018717516784819e-05,9.29162810411303e-09
2.0222700357799672e-05,9.697375751246289e-09
2.0258288064626875e-05,1.0124130717083583e-08
2.029393839834637e-05,1.055991596247563e-08
2.0329651469168346e-05,1.1024623796878566e-08
2.0365427387496923e-05,1.1497262097270394e-08
2.0401266263930524e-05,1.1998073993803105e-08
2.043716820926219e-05,1.251293335828697e-08
2.0473133334479947e-05,1.304975539487295e-08
2.0509161750767124e-05,1.3610215033382807e-08
2.054525356950272e-05,1.4185265907093456e-08
2.0581408902261733e-05,1.479493293450788e-08
2.06176278608155e-05,1.541580288985875e-08
2.065391055713207e-05,1.607326610196694e-08
2.069025710337652e-05,1.674880126969109e-08
2.072666761191132e-05,1.74517645102164e-08
2.0763142195296676e-05,1.818621067850596e-08
2.079968096629086e-05,1.893736732194646e-08
2.0836284037850598e-05,1.973524641519188e-08
2.0872951523131384e-05,2.0548893862457632e-08
2.090968353548784e-05,2.1403546094784487e-08
2.094648018847407e-05,2.2287552127399092e-08
2.0983341595844017e-05,2.3199189572821154e-08
2.1020267871551796e-05,2.415885032246824e-08
2.1057259129752065e-05,2.513798085096767e-08
2.1094315484800364e-05,2.6171662171559667e-08
2.1131437051253486e-05,2.7235664855510783e-08
2.11686239438698e-05,2.8338857374378353e-08
2.1205876277609652e-05,2.949193832755744e-08
2.1243194167635668e-05,3.06686998813037e-08
2.1280577729313153e-05,3.191744183356379e-08
2.1318027078210427e-05,3.319061472939073e-08
2.1355542330099182e-05,3.4533028998855237e-08
2.1393123600954853e-05,3.5906829626846395e-08
2.143077100695695e-05,3.7345118860459696e-08
2.1468484664489455e-05,3.8826834548222396e-08
2.1506264690141143e-05,4.036718100916842e-08
2.1544111200705977e-05,4.196455845536114e-08
2.1582024313183443e-05,4.361350353196196e-08
2.1620004144778924e-05,4.5334774455775375e-08
2.165805081290406e-05,4.7099239018501255e-08
2.169616443517711e-05,4.895314663985973e-08
2.173434512942332e-05,5.084045241160914e-08
2.1772593013675276e-05,5.2836278902725966e-08
2.1810908206173288e-05,5.4854170933875044e-08
2.184929082536573e-05,5.7001765898585984e-08
2.1887740989909428e-05,5.9168181264842e-08
2.1926258818670028e-05,6.146824626060097e-08
2.196484443072234e-05,6.379906378617837e-08
2.200349794535072e-05,6.625545821197549e-08
2.2042219482049458e-05,6.876190257116623e-08
2.2081009160523107e-05,7.138429768954089e-08
2.211986710068689e-05,7.408509537100741e-08
2.215879342266704e-05,7.69007717354238e-08
2.219778824680121e-05,7.978472754540277e-08
2.2236851693638804e-05,8.280577397634653e-08
2.227598388394137e-05,8.58852103560149e-08
2.231518493868297e-05,8.912431489652965e-08
2.2354454979050572e-05,9.241234375452336e-08
2.239379412644438e-05,9.588281677387382e-08
2.243320250247826e-05,9.939338363311423e-08
2.2472680228980078e-05,1.0310918105918456e-07
2.25122274279921e-05,1.0685711072096136e-07
2.2551844221771356e-05,1.1083285757575394e-07
2.259153073279003e-05,1.1483390139425618e-07
2.263128708373582e-05,1.1908491566412434e-07
2.2671113397512335e-05,1.2335647604381277e-07
2.2711009797239476e-05,1.2791386063166858e-07
2.275097640625379e-05,1.3247926525956524e-07
2.2791013348108893e-05,1.373375193142999e-07
2.2831120746575806e-05,1.422286156485922e-07
2.2871298725643382e-05,1.473923718363351e-07
2.2911547409518662e-05,1.5262886149857377e-07
2.2951866922627256e-05,1.5811687949305044e-07
2.299225738961375e-05,1.6371941721127944e-07
2.303271893534206e-05,1.6955157577314192e-07
2.3073251684895866e-05,1.7554180357895266e-07
2.311385576357894e-05,1.8173916008341785e-07
2.3154531296915577e-05,1.8813974206896048e-07
2.319527841065096e-05,1.947245942866417e-07
2.323609723075157e-05,2.015592519335376e-07
2.3276987883405547e-05,2.0855520208991037e-07
2.331795049502312e-05,2.1584875017832284e-07
2.3358985192236936e-05,2.2328077131695564e-07
2.340009210190252e-05,2.3105915442144416e-07
2.3441271351098625e-05,2.389536590955727e-07
2.348252306712764e-05,2.472439886724552e-07
2.352384737751597e-05,2.5562889998844737e-07
2.356524441001445e-05,2.6445949205752676e-07
2.360671429259873e-05,2.7336431709242363e-07
2.3648257153469652e-05,2.8276473051459076e-07
2.368987312105369e-05,2.922206361284775e-07
2.3731562324003314e-05,3.02221711479214e-07
2.377332489119738e-05,3.1226160254142336e-07
2.3815160951741564e-05,3.228955015792629e-07
2.3857070634968722e-05,3.3355410162569955e-07
2.3899054070439328e-05,3.4485434735364416e-07
2.3941111387941846e-05,3.561744791415582e-07
2.3983242717493135e-05,3.681697990081677e-07
2.4025448189338864e-05,3.8019243647644906e-07
2.406772793395391e-05,3.929168372193639e-07
2.411008208204275e-05,4.0567841240368105e-07
2.4152510764539867e-05,4.191740029941933e-07
2.4195014112610184e-05,4.327124355024429e-07
2.423759225764943e-05,4.470235305919088e-07
2.4280245331284562e-05,4.6137827008183984e-07
2.432297346537418e-05,4.765514835118667e-07
2.436577679200893e-05,4.91764159080697e-07
2.4408655443511902e-05,5.078478935485802e-07
2.445160955243904e-05,5.239805576049396e-07
2.449463925157958e-05,5.410069029136539e-07
2.453774467395642e-05,5.581120280153902e-07
2.458092595282656e-05,5.761269094213828e-07
2.462418322168151e-05,5.942596240893595e-07
2.4667516614247678e-05,6.133107148948196e-07
2.4710926264486812e-05,6.325460146961133e-07
2.4754412306596417e-05,6.528132153332553e-07
2.479797487501014e-05,6.731160819883742e-07
2.4841614104398208e-05,6.945905753575899e-07
2.4885330129667835e-05,7.161769269085521e-07
2.4929123085963664e-05,7.387601571777507e-07
2.4972993108668144e-05,7.616979794380773e-07
2.5016940333401967e-05,7.854446613805229e-07
2.50609648960245e-05,8.098047723788091e-07
2.5105066932634193e-05,8.347723314191014e-07
2.5149246579568995e-05,8.606284640750983e-07
2.5193503973406784e-05,8.868771638428207e-07
2.5237839250965777e-05,9.143060496396243e-07
2.528225254930499e-05,9.418991240410571e-07
2.53267440057246e-05,9.709805776260842e-07
2.537131375776643e-05,1.0001132084637019e-06
2.5415961943214326e-05,1.0308013721466075e-06
2.5460688700094627e-05,1.0616726082779933e-06
2.5505494166676547e-05,1.0939242604379162e-06
2.5550378481472645e-05,1.1266204919260504e-06
2.5595341783239217e-05,1.1605118058814012e-06
2.5640384210976746e-05,1.1951227708595496e-06
2.5685505903930336e-05,1.2307335464806675e-06
2.5730707001590115e-05,1.2673524193110671e-06
2.5775987643691707e-05,1.3047662387976674e-06
2.5821347970216618e-05,1.343489719028944e-06
2.586678812139271e-05,1.3827941073460395e-06
2.591230823769461e-05,1.423722509448173e-06
2.5957908459844144e-05,1.4650090994351062e-06
2.600358892881079e-05,1.5082464432934296e-06
2.60493497858121e-05,1.5516111454573465e-06
2.6095191172314134e-05,1.5972652476058674e-06
2.6141113230031904e-05,1.6429996913889828e-06
2.6187116100929816e-05,1.6909909901835066e-06
2.6233199927222104e-05,1.7392583469595618e-06
2.627936485137326e-05,1.7896443514228003e-06
2.6325611016098486e-05,1.8405605111774682e-06
2.6371938564364142e-05,1.8934549015466979e-06
2.641834763938817e-05,1.94713983604927e-06
2.6464838384640546e-05,2.0026613832021572e-06
2.651141094384373e-05,2.0592392401927883e-06
2.6558065460973097e-05,2.1175119994074864e-06
2.660480208025738e-05,2.177111197444945e-06
2.6651620946179152e-05,2.2382647068294967e-06
2.6698522203475216e-05,2.3010180307846287e-06
2.674550599713709e-05,2.3651875143656307e-06
2.6792572472411456e-05,2.4312322115449892e-06
2.683972177480059e-05,2.498558787003008e-06
2.6886954050062825e-05,2.5680366638895683e-06
2.693426944421299e-05,2.6386675549255106e-06
2.698166810352289e-05,2.7117250745199333e-06
2.7029150174521715e-05,2.785813827832748e-06
2.7076715803996534e-05,2.862602207580155e-06
2.7124365138992704e-05,2.9403089144328986e-06
2.7172098326814386e-05,3.0209842247167355e-06
2.721991551502494e-05,3.102516774307191e-06
2.7267816851447416e-05,3.1874690606727224e-06
2.7315802484165004e-05,3.2726863528479906e-06
2.7363872561521476e-05,3.3620955920523357e-06
2.7412027232121673e-05,3.451662172746008e-06
2.7460266644831938e-05,3.545217998146389e-06
2.75085909487806e-05,3.6394351656778244e-06
2.7557000293358417e-05,3.737203642928083e-06
2.7605494828219033e-05,3.836262784008221e-06
2.7654074703279468e-05,3.938433439079462e-06
2.7702740068720553e-05,4.042531636012154e-06
2.775149107498741e-05,4.149302216745118e-06
2.78003278727899e-05,4.2586423472329e-06
2.7849250613103136e-05,4.3702190964785295e-06
2.789825944716787e-05,4.485009933692585e-06
2.7947354526491052e-05,4.601607866334778e-06
2.799653600284621e-05,4.7220641792503565e-06
2.8045804028273993e-05,4.8439073630268205e-06
2.809515875508259e-05,4.970250017009643e-06
2.8144600335848236e-05,5.097571857043202e-06
2.8194128923415653e-05,5.230027914673786e-06
2.8243744670898547e-05,5.363071441625699e-06
2.829344773168007e-05,5.501874263743687e-06
2.83432382594133e-05,5.6409213496866395e-06
2.83931164080217e-05,5.786281772448479e-06
2.8443082331699623e-05,5.931926974126051e-06
2.8493136184912756e-05,6.083759862301041e-06
2.8543278122398624e-05,6.2362498743714595e-06
2.859350829916705e-05,6.394835068166719e-06
2.8643826870500645e-05,6.554423199457886e-06
2.869423399195529e-05,6.720051441733912e-06
2.8744729819360607e-05,6.886997717188925e-06
2.8795314508820437e-05,7.05997095827749e-06
2.8845988216713344e-05,7.234542221042788e-06
2.8896751099693084e-05,7.415173926601953e-06
2.8947603314689083e-05,7.597643940246626e-06
2.8998545018906938e-05,7.78625940205625e-06
2.9049576369828884e-05,7.976908952910785e-06
2.91006975252143e-05,8.173845602511142e-06
2.9151908643100193e-05,8.372962602113932e-06
2.9203209881801678e-05,8.578570327192453e-06
2.925460139991246e-05,8.786449914836486e-06
2.930608335630535e-05,9.001091378263265e-06
2.9357655910132733e-05,9.218036023629149e-06
2.940931922082708e-05,9.442086985051508e-06
2.9461073448101423e-05,9.668406590927433e-06
2.951291875194984e-05,9.903199529968042e-06
2.9564855292647992e-05,1.0140388073083144e-05
2.9616883230753575e-05,1.0384019286434328e-05
2.966900272710684e-05,1.0632483271761204e-05
2.972121394283108e-05,1.0885296171977224e-05
2.977351703933313e-05,1.1145452780940302e-05
2.9825912178303866e-05,1.1407804877928376e-05
2.987839952171871e-05,1.1680082118019692e-05
2.993097923183813e-05,1.1952838508888339e-05
2.9983651471208123e-05,1.2237182326693592e-05
3.003641640266075e-05,1.2522520435600444e-05
3.0089274189314614e-05,1.2817658367487622e-05
3.0142224994575377e-05,1.3116117426192918e-05
3.0195268982136255e-05,1.3422275087066764e-05
3.0248406315978536e-05,1.3734321967847373e-05
3.030163716037207e-05,1.4051923622020755e-05
3.03549616798758e-05,1.437803668715117e-05
3.0408380039338243e-05,1.4707523276427595e-05
3.0461892403898044e-05,1.5048192522806535e-05
3.051549893898442e-05,1.539002214903558e-05
3.056919981031773e-05,1.5745749352522107e-05
3.062299518390997e-05,1.6102102561201017e-05
3.067688522606527e-05,1.647169662309281e-05
3.0730870103380424e-05,1.6843648890388654e-05
3.0784949982745404e-05,1.7227053983448408e-05
3.083912503134387e-05,1.761513199946481e-05
3.089339541665369e-05,1.8012871920513102e-05
3.094776130644747e-05,1.8417614606027364e-05
3.1002222868793034e-05,1.883023239771257e-05
3.1056780272054e-05,1.925219104700557e-05
3.1111433684890253e-05,1.968024949595941e-05
3.1166183276258495e-05,2.011998791926595e-05
3.1221029215412734e-05,2.056413737221623e-05
3.1275971671904844e-05,2.1022548962739446e-05
3.1331010815585104e-05,2.1482927517852293e-05
3.138614681660264e-05,2.196062015529e-05
3.144137984540603e-05,2.2439153431476888e-05
3.149671007274382e-05,2.2935430824884082e-05
3.155213766966501e-05,2.3433901695861428e-05
3.160766280751963e-05,2.3948245688877783e-05
3.166328565795925e-05,2.4467290606636484e-05
3.1719006392937495e-05,2.5000840743188726e-05
3.17748251847106e-05,2.5541812869458757e-05
3.1830742205837946e-05,2.6093884651156477e-05
3.188675762918257e-05,2.665748819826823e-05
3.1942871627911707e-05,2.7228754469399445e-05
3.199908437549734e-05,2.7815708818129365e-05
3.205539604571674e-05,2.8406866777248313e-05
3.211180681265296e-05,2.90179066299318e-05
3.2168316850695415e-05,2.9630021784466798e-05
3.222492633454041e-05,3.026555395836429e-05
3.228163543919168e-05,3.0902548500620665e-05
3.233844433996094e-05,3.15601643013492e-05
3.2395353212468385e-05,3.222280538648212e-05
3.2452362232643295e-05,3.29032930802568e-05
3.250947157672454e-05,3.3592363673473585e-05
3.2566681421261126e-05,3.429653839094468e-05
3.2623991943112755e-05,3.5012837420367936e-05
3.2681403319450375e-05,3.574254365669365e-05
3.2738915727756695e-05,3.6489180399622204e-05
3.279652934582677e-05,3.7241358279645756e-05
3.285424435176854e-05,3.8021471336193715e-05
3.291206092400336e-05,3.880295722793457e-05
3.2969979241266595e-05,3.960743757021009e-05
3.3027999482608135e-05,4.042357783183142e-05
3.308612182739295e-05,4.1248792506964474e-05
3.314434645530166e-05,4.21007305133496e-05
3.320267354633111e-05,4.2954167751759704e-05
3.3261103280794845e-05,4.383620591221827e-05
3.3319635839323797e-05,4.472667378690267e-05
3.3378271402866704e-05,4.563184883913126e-05
3.343701015269077e-05,4.656054199251318e-05
3.349585227038221e-05,4.749086945086384e-05
3.355479793784673e-05,4.845769750373458e-05
3.361384733731022e-05,4.942753928301403e-05
3.36730006513192e-05,5.04201222020461e-05
3.3732258062741466e-05,5.143072534269497e-05
3.37916197547666e-05,5.244985588601056e-05
3.3851085910906574e-05,5.3502492932932594e-05
3.39106567149963e-05,5.455698240005382e-05
3.39703323511942e-05,5.564496668379455e-05
3.403011300398277e-05,5.674286460026436e-05
3.408999885816916e-05,5.786033172558645e-05
3.4149990098885746e-05,5.900296469058067e-05
3.4210086911590696e-05,6.015133415557034e-05
3.427028948206854e-05,6.134656431869139e-05
3.433059799643076e-05,6.254389783595824e-05
