# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.07343690145564E-004     3.61532464366584E+023    -4.21577610824940E+021     7.43425660880331E+019     3.66401287381444E+023     4.40581477398723E+010     3.90582351083655E+009     1.29713790359268E+016     1.32412845851215E+013     6.55598894724511E+004     0.00000000000000E+000
  1.07343690151177E-004     3.09223655482811E+023    -3.81431135849592E+021     7.43426108959511E+019     3.13507212841701E+023     4.40586771069757E+010     3.90547619815660E+009     1.29713453932969E+016     1.32836196919742E+013     6.55606991831970E+004     0.00000000000000E+000
  1.07343690158048E-004     2.57543136316711E+023    -3.33471719407080E+021     7.43426550540495E+019     2.61224432883627E+023     4.40593202803068E+010     3.90516311345728E+009     1.29712960175119E+016     1.33465010692502E+013     6.55615416102024E+004     0.00000000000000E+000
  1.07343690166651E-004     2.07755690897842E+023    -2.76945040148970E+021     7.43426974238642E+019     2.10825755454154E+023     4.40601092729809E+010     3.90485501214974E+009     1.29712259827673E+016     1.34154636143718E+013     6.55624955542570E+004     0.00000000000000E+000
  1.07343690177757E-004     1.61400946628127E+023    -2.14149781923496E+021     7.43427365426155E+019     1.63862466697939E+023     4.40610898741387E+010     3.90454864485263E+009     1.29711286225578E+016     1.34874006463232E+013     6.55636053001244E+004     0.00000000000000E+000
  1.07343690192713E-004     1.20269171337614E+023    -1.51119445376972E+021     7.43427705549736E+019     1.22141355251385E+023     4.40623321939766E+010     3.90424728426193E+009     1.29709944902666E+016     1.35625968159940E+013     6.55649206756729E+004     0.00000000000000E+000
  1.07343690214149E-004     8.62480204555107E+022    -8.97023139650169E+020     7.43427971059342E+019     8.75719697371765E+022     4.40639543995758E+010     3.90395652664093E+009     1.29708091988760E+016     1.36438463499840E+013     6.55665186057061E+004     0.00000000000000E+000
  1.07343690248032E-004     6.08425031957606E+022    -3.76053831417322E+020     7.43428130300940E+019     6.16880926187024E+022     4.40661840840308E+010     3.90368833289681E+009     1.29705483010266E+016     1.37392599201392E+013     6.55685333053651E+004     0.00000000000000E+000
  1.07343690311404E-004     4.39142233058562E+022    -2.78114990065184E+019     7.43428129175721E+019     4.43824710807660E+022     4.40695427862445E+010     3.90349649083913E+009     1.29701643806891E+016     1.38725284780098E+013     6.55712106578862E+004     0.00000000000000E+000
  1.07343690438149E-004     3.26082041858336E+022     9.26259140789163E+019     7.43427897083934E+019     3.28369702566724E+022     4.40744095663201E+010     3.90362558539525E+009     1.29696627870142E+016     1.40803156316835E+013     6.55743515785198E+004     0.00000000000000E+000
