time_days,Bi212 top 6
2.8845988216713344e-05,0.5769126927224234
2.8896751099693084e-05,0.5854010398020909
2.8947603314689083e-05,0.5939430334279048
2.8998545018906938e-05,0.6026458406031615
2.9049576369828884e-05,0.6114065675732049
2.91006975252143e-05,0.620329197824648
2.9151908643100193e-05,0.6293126648120173
2.9203209881801678e-05,0.6384605876149979
2.925460139991246e-05,0.6476708475874068
2.930608335630535e-05,0.6570496399202153
2.9357655910132733e-05,0.6664907924258027
2.940931922082708e-05,0.6761061397761544
2.9461073448101423e-05,0.6857823312308993
2.951291875194984e-05,0.6956615108902565
2.9564855292647992e-05,0.7056037288389194
2.9616883230753575e-05,0.7156997540123772
2.966900272710684e-05,0.725913179489267
2.972121394283108e-05,0.7362315357822855
2.977351703933313e-05,0.7467214123705193
2.9825912178303866e-05,0.7572677159910378
2.987839952171871e-05,0.7680393501641175
2.993097923183813e-05,0.7788299401518131
2.9983651471208123e-05,0.7898781109834071
3.003641640266075e-05,0.8009563335484635
3.0089274189314614e-05,0.8122504247132508
3.0142224994575377e-05,0.8236235658175879
3.0195268982136255e-05,0.8351657209915444
3.0248406315978536e-05,0.8468393231958192
3.030163716037207e-05,0.8586357452322876
3.03549616798758e-05,0.8706154144595395
3.0408380039338243e-05,0.8826724479658785
3.0461892403898044e-05,0.8949638538478568
3.051549893898442e-05,0.9072879866366165
3.056919981031773e-05,0.9198968628620233
3.062299518390997e-05,0.9325279280623249
3.067688522606527e-05,0.9454268720600392
3.0730870103380424e-05,0.9583817745842605
3.0784949982745404e-05,0.9715665228464802
3.083912503134387e-05,0.9848511358672095
3.089339541665369e-05,0.9983286692578792
3.094776130644747e-05,1.0119489311759713
3.1002222868793034e-05,1.025726379743979
3.1056780272054e-05,1.0396882945455466
3.1111433684890253e-05,1.0537729389448534
3.1166183276258495e-05,1.0680825765606687
3.1221029215412734e-05,1.0824830510487429
3.1275971671904844e-05,1.09715220485935
3.1331010815585104e-05,1.1118678094546552
3.138614681660264e-05,1.1269028466387692
3.144137984540603e-05,1.1419643423316859
3.149671007274382e-05,1.157348603285008
3.155213766966501e-05,1.1727830767608218
3.160766280751963e-05,1.1885038042198823
3.166328565795925e-05,1.2043177787200527
3.1719006392937495e-05,1.2203910117238148
3.17748251847106e-05,1.2366029179112359
3.1830742205837946e-05,1.2530136510568628
3.188675762918257e-05,1.2696304848963096
3.1942871627911707e-05,1.2863869220435529
3.199908437549734e-05,1.3034157538833306
3.205539604571674e-05,1.3205262733729601
3.211180681265296e-05,1.3379742483514567
3.2168316850695415e-05,1.3554529281026728
3.222492633454041e-05,1.3733217429789502
3.228163543919168e-05,1.3912275365168971
3.233844433996094e-05,1.4094742655673602
3.2395353212468385e-05,1.4278144816796994
3.2452362232643295e-05,1.4464480989618609
3.250947157672454e-05,1.4652301225943736
3.2566681421261126e-05,1.4842597829684991
3.2623991943112755e-05,1.5034910756426103
3.2681403319450375e-05,1.5229412156711992
3.2738915727756695e-05,1.5426638917298374
3.279652934582677e-05,1.5624847034320226
3.285424435176854e-05,1.5827396919925563
3.291206092400336e-05,1.6030303250803721
3.2969979241266595e-05,1.6236762518670482
3.3027999482608135e-05,1.6445099463768142
3.308612182739295e-05,1.6654915702370483
3.314434645530166e-05,1.6868782454364715
3.320267354633111e-05,1.7083025566940655
3.3261103280794845e-05,1.7301536643402873
3.3319635839323797e-05,1.752141974170262
3.3378271402866704e-05,1.7743549840190234
3.343701015269077e-05,1.796917445936586
3.349585227038221e-05,1.8195196130500848
3.355479793784673e-05,1.8426482040451155
3.361384733731022e-05,1.8658358147074583
3.36730006513192e-05,1.8893538256930733
3.3732258062741466e-05,1.913137271412962
3.37916197547666e-05,1.9370542360154113
3.3851085910906574e-05,1.9614440194882148
3.39106567149963e-05,1.9858767238592439
3.39703323511942e-05,2.010776446751929
3.403011300398277e-05,2.0358271892253503
3.408999885816916e-05,2.0611552953339456
3.4149990098885746e-05,2.0868348221476167
3.4210086911590696e-05,2.1126081017111056
3.427028948206854e-05,2.1390111948369754
3.433059799643076e-05,2.1654607518633577
3.439101264111634e-05,2.1922017869771935
3.445153360289238e-05,2.219390094628639
3.451216106885463e-05,2.246626247993303
3.45728952264281e-05,2.274368032143585
3.463373626336761e-05,2.3023582260483906
3.4694684367758424e-05,2.3304157507345966
3.475573972801678e-05,2.3591741285403796
3.481690253289045e-05,2.387983115053207
3.4878172971459456e-05,2.4170957497991217
3.493955123313645e-05,2.446688594993879
3.500103750766751e-05,2.4763335173830967
3.506263198513255e-05,2.506536525398814
3.512433485594603e-05,2.5369811899241532
3.518614631085748e-05,2.567550360777785
3.524806654095211e-05,2.5988152754969267
3.531009573765142e-05,2.630135209901838
3.5372234092713746e-05,2.661845592857469
3.543448179823489e-05,2.69400221452815
