time_days,Th234 top 18
41.6155098766509,220226.8099420382
41.68874381629693,219763.565799576
41.76210663120922,219304.739035612
41.83559854817934,218845.97261571366
41.90921979439773,218386.39887007565
41.982970597454866,217926.01637798597
42.05685118534164,217464.8237162326
42.130861786450176,217002.81945909915
42.205002629574516,216543.55462114885
42.279273943911384,216086.01610183535
42.35367595906063,215627.67241761115
42.42820890502637,215168.52215156672
42.502873012217414,214708.56388429936
42.577668511447996,214247.7961939087
42.65259563393866,213788.5134936962
42.72765461131658,213332.1995884593
42.802845675616794,212875.08267335658
42.878169059282584,212417.16133527146
42.95362499516628,211958.43415860026
43.029213716529966,211498.8997252483
43.104935457046324,211040.00752323927
43.18079045079899,210584.914954366
43.256778932283765,210129.0215249044
43.332901136409056,209672.32582552
43.40915729849664,209214.82644439803
43.48554765428239,208756.52196723945
43.56207243991714,208298.41701392684
43.638731891967026,207844.5425124778
43.71552624741474,207389.8692939653
43.792455743659936,206934.39595282677
43.86952061852001,206478.12108102645
43.94672111023098,206021.04326805
44.02405745744785,205564.11094094143
44.101529899245826,205111.45124672685
44.179138675120775,204657.9949732362
44.25688402499002,204203.74071866917
44.33476618919308,203748.68707875855
44.4127854084925,203292.83264676543
44.490941924074264,202837.44718313753
44.56923597754904,202385.99904469308
44.64766781095259,201933.7564590384
44.72623766674662,201480.71802812503
44.80494578781948,201026.88235144428
44.883792417487065,200572.2480260223
44.962777799493196,200118.77275151803
45.041902178010865,199668.53292608247
45.121165797642675,199217.50077979584
45.200568903421676,198765.6749183516
45.28011174081222,198313.0539449892
45.35979455571034,197859.63646049122
45.43961759444505,197408.42401362458
45.519581103778805,196959.38926711565
45.59968533090824,196509.56432042364
45.679930523465046,196058.94778297396
45.76031692951676,195607.53826174416
45.840844797567215,195155.33436126233
45.9215143765578,194706.72691390142
46.00232591586791,194258.8940208935
46.08327966531577,193810.2730426944
46.164375875159266,193360.86259245133
46.245614796096724,192910.66128087055
46.32699667926743,192459.84685125982
46.40852177625284,192013.99719010887
46.49019033907706,191567.36293380873
46.57200262020772,191119.94270164857
46.65395887255681,190671.735110487
46.73605934948111,190222.73877475018
46.81830430478354,189775.19691845647
46.90069399271356,189330.54058584012
46.98322866796804,188885.10175806467
47.06590858569208,188438.87905811443
47.14873400147985,187991.87110655027
47.231705171375054,187544.07652150668
47.31482235187222,187100.11925727795
47.3980857999172,186656.6530592207
47.48149577290796,186212.40646037346
47.565052528695475,185767.3780874064
47.64875632558454,185321.56656457228
47.73260742233427,184876.4025409157
47.81660607815937,184434.9002367688
47.90075255273063,183992.62098784366
47.98504710617582,183549.56342689204
48.069489999080446,183105.72618425978
48.15408149248869,182661.10788788216
48.23882184790386,182220.13745812984
48.32371132728969,181779.8168467005
48.408750193070844,181338.72137000633
48.49393870813379,180896.8496644587
48.57927713582769,180454.20036406888
48.664765739964885,180012.64962449507
48.75040478482225,179574.27897671846
48.83619453514162,179135.13689517448
48.922135256130716,178695.2220223133
49.00822721346398,178254.53299819585
49.09447067328343,177813.0684604897
49.18086590219923,177376.2832456936
49.26741316729094,176939.08590867234
49.35411273610804,176501.11920264683
49.44096487667084,176062.38177370076
49.5279698574713,175622.8722655351
49.615127947473965,175186.09664035134
49.70243941611643,174750.83543553506
49.78990453331068,174314.80826887192
49.87752356944365,173878.01379244123
49.96529679537804,173440.45065595047
50.05322448245332,173003.9774537963
50.141306902486185,172570.64380700665
50.22954432777194,172136.54759043877
50.31793703108498,171701.68746214133
50.4064852856797,171266.0620778016
50.4951893652914,170830.17546955787
50.58404954413715,170398.7608445868
50.67306609691633,169966.58702688478
50.76223929881197,169533.65268044302
50.851569425491306,169099.9564669019
50.94105675310667,168665.49704554668
51.03070155829635,168235.42804073784
51.12050411818558,167805.1681085413
51.21046471038695,167374.15101561346
51.300583613001905,166942.3754295214
51.390861104621166,166509.8400154876
51.48129746432573,166080.8787363018
51.57189297168777,165652.52421395265
51.66264790677122,165223.41588396503
51.75356255013309,164793.55241980677
51.84463718282406,164362.93249261146
51.93587208638937,163935.33829468867
52.0272675428697,163508.88074406324
52.1188238348022,163081.67272404212
52.21054124522089,162653.712913969
52.302420057658175,162224.99999086192
52.39446055614532,161799.02427288232
52.48666302521341,161374.45529322428
52.57902774989426,160949.13916763134
52.67155501572135,160523.07458129423
52.76424510873035,160096.26021709127
52.85709831546058,159672.14658932545
52.95011492295554,159249.45781708183
53.043295218763795,158826.0252076456
53.13663949094009,158401.84745203014
53.230148028045754,157976.9232389466
53.32382111915025,157554.9076887323
53.41765905383157,157134.09079738855
53.51166212217738,156712.5333629416
53.60583061478578,156290.23408220217
53.700164822766375,155867.19164968719
53.79466503774076,155447.50270388246
53.889331551844016,155028.54940379754
53.984164657725216,154608.85884011097
54.07916464854842,154188.42971540475
54.17433181799362,153767.26072997745
54.26966646025768,153350.1196144415
54.36516887005491,152933.02165268522
54.460839342618534,152515.18969230566
54.55667817370125,152096.6224416303
54.652685659576186,151677.46077826753
54.74886209703794,151262.93940286845
54.84520778340313,150847.6885630591
54.94172301651186,150431.70697514582
55.03840809472828,150014.99335317608
55.135263316941575,149598.8218713388
55.232288982566935,149186.136207452
55.329485391546534,148772.72430959358
55.42685284435007,148358.5848997559
55.52439164197634,147943.716697681
55.622102085953685,147530.73555436078
55.719984478341075,147119.8774725214
55.818039121729065,146708.29637284426
55.91626631924078,146295.99098298006
56.014666374532474,145882.9600283419
56.11323959179507,145473.36268914636
56.21198627575471,145064.32409589135
56.31090673167376,144654.5656866893
56.410001265351795,144244.08619482617
56.50927018312663,143833.36952881239
56.60871379187487,143426.8577358674
56.70833239901344,143019.6305735758
56.808126312500164,142611.68678304835
56.90809584083479,142203.02510318055
57.00824129306005,141796.08044702793
57.10856297876226,141391.3688950894
57.209061208072775,140985.9451418236
57.30973629166868,140579.80793391637
57.41058854077374,140172.9560158479
57.511618267159406,139769.95753048692
57.61282578314589,139367.03824717138
57.714211401602704,138963.40991651878
57.81577543595025,138559.0712907648
57.91751820016039,138155.56712535364
58.01944000875748,137755.13684084397
58.12154117681938,137354.001889075
58.22382201997852,136952.1610299905
58.32628285442248,136549.61302135294
58.42892399689553,136150.40556629567
58.53174576469927,135751.74859077946
58.63474847569364,135352.39006862912
58.73793244829811,134952.32876527976
58.841298001492135,134553.0031021425
58.944845454816814,134156.80879539633
59.048575128375475,133759.91727575925
59.152487342834775,133362.32731629326
59.25658241942563,132964.03768790147
59.36086067994439,132569.3354422471
59.46532244675337,132174.89568542992
59.56996804278247,131779.76180333513
59.67479779152979,131383.93257445842
59.77981201706271,130989.47576477242
59.88501104401887,130597.47262522389
59.99039519760735,130204.77964829587
60.09596480360918,129811.39562003044
60.201720188378985,129417.37141670387
60.307661678845655,129027.78984243261
60.41378960251336,128637.52269219262
60.52010428746271,128246.568759524
60.626606062351364,127854.92683584483
60.73329525641564,127465.98362788754
60.84017219947114,127078.12731900233
60.94723722191389,126689.5884702275
61.054490654721306,126300.36588044636
61.161932829453384,125912.18493748283
61.26956407825323,125526.72457718945
61.37738473384883,125140.58589333727
61.48539512955352,124753.76769222933
61.59359559926724,124366.51951142776
61.70198647747752,123983.44029896252
61.81056809926059,123599.68695322279
61.919340800282036,123215.25828788645
62.028304916798454,122830.15311454241
62.137460785658085,122448.39521730314
62.24680874430193,122067.01247445798
62.35634913076491,121684.9585837434
62.46608228367652,121302.2323640909
62.57600854226247,120921.70508080565
62.686128246345305,120542.67829666162
62.79644173634563,120162.98451060601
62.90694935328305,119782.62254886566
63.01765143877747,119403.48076636139
63.12854833504958,119026.7953871887
63.23964038492266,118649.4471264508
63.35092793182316,118271.4348176252
63.46241131978188,117893.82838972777
63.57409089343507,117519.4699517009
63.685966998025535,117144.45272700168
63.7980399794033,116768.77555631436
63.91031018402737,116392.84941401353
64.0227779589663,116020.80354265602
64.13544365189942,115648.10295422387
64.2483076111179,115274.7464965622
64.36137018552593,114900.73301548821
64.47463172464134,114530.89316575824
64.58809257859741,114160.49490277402
64.70175309814344,113789.44482213535
64.81561363464597,113417.74177678977
64.92967454008999,113049.83138439347
65.04393616707951,112681.72122444201
65.15839886883948,112312.9632733829
65.27306299921626,111943.55639124956
65.38792891267892,111577.70642209178
65.50299696432033,111211.87023061581
65.61826750985833,110845.39024970503
65.73374090563642,110478.26534643558
65.84941750862555,110114.60226304793
65.96529767642468,109751.02599280511
66.08138176726212,109386.80991008104
66.19767013999656,109021.95288894966
66.31416315411833,108660.59875073655
66.43086116975,108299.26844126012
66.54776454764827,107937.3022716884
66.66487364920454,107574.69912305058
66.78218883644618,107215.7716846499
66.8997104720378,106856.67346171233
67.01743891928182,106496.94330665018
67.13537454212035,106136.58010740468
67.25351770513586,105780.19291519289
67.37186877355242,105423.31299027441
67.49042811323675,105065.80503693673
67.60919609069957,104707.9827146178
67.72817307309624,104353.93043677157
67.84735942822856,103999.25510652926
67.96675552454545,103643.95562745864
68.08636173114424,103288.91362981292
68.2061784177718,102937.0484790989
68.32620595482574,102584.56412484028
68.44644471335516,102231.45947737884
68.56689506506251,101879.2991311184
68.68755738230418,101529.60759674913
68.80843203809185,101179.30068391166
68.92951940609375,100828.37730967783
69.05081986063529,100479.19610235274
69.17233377670098,100131.66475700251
69.29406152993512,99783.52183463093
69.41600349664303,99434.76625900003
69.53816005379227,99088.65792670446
69.66053157901388,98743.2734259931
69.78311845060307,98397.28112622461
69.90592104752115,98050.67995780898
70.02893974939622,97707.73457121958
70.15217493652436,97364.48365320201
70.27562698987099,97020.6286907527
70.39929629107196,96677.00392656907
70.52318322243445,96336.47266966323
70.64728816693868,95995.34215431767
70.77161150823879,95653.61132597234
70.89615363066403,95313.34325847757
71.0209149192201,94974.9156037733
71.14589575958986,94635.8923924966
71.27109653813527,94296.27257660136
71.39651764189804,93959.4406302656
71.52215945860101,93623.1035829445
71.64802237664935,93286.17465804948
71.77410678513183,92949.0052433472
71.90041307382154,92615.33307684644
72.0269416331779,92281.07372236275
72.15369285434728,91946.22614657738
72.28066712916443,91612.66555176777
72.40786485015359,91281.05461603528
72.53528641052992,90948.86011962217
72.66293220420013,90616.08103559358
72.79080262576456,90286.19876170829
72.91889807051777,89956.6363236702
73.04721893444997,89626.49392984709
73.17576561424838,89296.58423613218
73.30453850729786,88969.63300202561
73.43353801168303,88642.10640726583
73.56276452618883,88314.00343934749
73.69221845030206,87987.92512726386
73.82190018421251,87662.99360595044
73.95181012881432,87337.49027822388
74.0819486857067,87011.58447626677
74.21231625719602,86689.22746699715
74.3429132462965,86366.30318187697
74.47374005673151,86042.81062262833
74.60479709293494,85722.20017285302
74.73608476005252,85404.48768960862
74.86760346394252,85086.21610383541
74.99935361117781,84767.38443163838
75.13133560904669,84447.9916873913
75.2635498655541,84128.03688373356
75.39599678942304,83812.68967976164
75.52867679009587,83498.45174046519
75.6615902777351,83183.66081305596
75.7947376632254,82868.31592439898
75.92811935817441,82552.41609964694
76.0617357749141,82236.44179292177
76.19558732650216,81926.18637928402
76.32967442672278,81615.38498588315
76.46399749008872,81304.03665191725
76.59855693184207,80992.14041489389
76.73335316795564,80679.69531062692
76.86838661513424,80369.65215123649
77.00365769081615,80062.78973008912
77.13916681317384,79755.38730008251
77.27491440111606,79447.44391092208
77.41090087428861,79138.95861064145
77.5471266530758,78829.9304455989
77.68359215860167,78526.08870649748
77.82029781273154,78222.582171645
77.95724403807264,77918.5415335385
78.09443125797641,77613.96585227604
78.23185989653904,77308.854186302
78.36953037860307,77005.47719367387
78.50744312975887,76705.8171789627
78.64559857634525,76405.629830008
78.78399714545175,76104.91421881982
78.92263926491933,75803.66941577538
79.06152536334186,75501.894489616
79.20065587006744,75205.27055791685
79.34003121519987,74908.88766307167
79.4796518295994,74611.983200977
79.61951814488495,74314.55625379154
