time_days,Fr221 top 12
0.16921232439591166,2452188.187681381
0.1695101022879938,2425198.1983092194
0.16980840420616727,2398160.7122658393
0.17010723107260745,2371075.645967122
0.17040658381111254,2345087.5327710933
0.17070646334710549,2319208.9192155735
0.17100687060763878,2293284.764775119
0.17130780652139624,2267314.98930738
0.17160927201869502,2242184.3136167815
0.17191126803149054,2217371.67528538
0.17221379549337776,2192515.371959922
0.17251685533959493,2167615.3267992297
0.1728204485070253,2143352.0211583446
0.17312457593420166,2119561.8146002404
0.1734292385613084,2095729.7423116674
0.1737344373301836,2071855.730617847
0.17404017318432363,2048465.5239127732
0.17434644706888522,2025655.9868684097
0.17465325993068753,2002806.3098644952
0.17496061271821672,1979916.4222631725
0.1752685063816282,1957401.2714151815
0.17557694187274844,1935532.3499722679
0.17588592014507992,1913624.9438542419
0.176195442153803,1891678.985336195
0.17650550885577812,1870037.4732114952
0.17681612120955045,1849070.7519397975
0.17712728017535176,1828067.1336744176
0.17743898671510383,1807026.5534844326
0.17775124179242038,1786254.2553486826
0.17806404637261178,1766152.8902925188
0.17837740142268713,1746016.1510865162
0.1786913079113564,1725843.9754796936
0.1790057668090351,1705933.796177586
0.17932077908784652,1686662.450588577
0.17963634572162382,1667357.191508429
0.17995246768591475,1648017.9592565547
0.1802691459579838,1628960.443156025
0.1805863815168144,1610485.225854428
0.1809041753431136,1591977.49607903
0.18122252841931408,1573437.1966147546
0.18154144172957767,1555220.8122248447
0.18186091625979717,1537509.2184815756
0.18218095299760123,1519766.4560804141
0.18250155293235662,1501992.4701710988
0.18282271705517017,1484603.871218644
0.18314444635889385,1467624.7260552384
0.18346674183812678,1450615.7011884656
0.18378960448921744,1433576.7440364037
0.18411303531026862,1417001.008671402
0.1844370353011396,1400724.412478884
0.18476160546344822,1384419.1729205896
0.18508674680057582,1368085.239590237
0.18541246031766934,1352306.0892811322
0.1857387470216447,1336703.3656630483
0.18606560792118898,1321073.1845523505
0.18639304402676518,1305415.4976296474
0.18672105635061456,1290415.4972072516
0.18704964590675877,1275459.142955555
0.1873788137110048,1260476.4686845685
0.18770856078094728,1245539.3465275473
0.18803888813597067,1231228.1682907038
0.18836979679725427,1216891.8054078608
0.18870128778777448,1202530.213559356
0.18903336213230681,1188363.142574823
0.18936602085743132,1174645.612209224
0.1896992649915342,1160903.9418922858
0.1900330955648117,1147138.0891427887
0.19036751360927207,1133720.0291171263
0.19070252015874062,1120571.9255046134
0.19103811624886202,1107400.6840113658
0.19137430291710236,1094206.2639196357
0.19171108120275457,1081515.7033421593
0.1920484521469405,1068913.796352505
0.19238641679261306,1056289.7126726434
0.19272497618456158,1043715.2645811049
0.19306413136941408,1031658.4919147759
0.1934038833956393,1019580.5018793179
0.1937442333135522,1007481.2571366376
0.19408518217531587,995614.4465434236
0.1944267310349442,984059.339929115
0.1947688809483068,972483.8987717847
0.19511163297313108,960888.0872869383
0.1954549881690062,949705.692234159
0.1957989475973849,938631.7939104731
0.19614351232158883,927538.4078685523
0.19648868340681103,916497.9583041823
0.1968344619201179,905904.2902100303
0.1971808489304546,895291.9795012487
0.19752784550864766,884660.9933707664
0.19787545272740678,874279.7914463748
0.19822367166133054,864128.1153325945
0.19857250338690854,853958.5744165495
0.19892194898252374,843771.1372599889
0.19927200952845792,834025.2963632296
0.19962268610689354,824297.5961337744
0.19997397980191778,814552.7772099149
0.20032589169952464,804961.3107806026
0.20067842288762017,795656.6817529408
0.20103157445602496,786335.6785466848
0.20138534749647644,776998.2723467638
0.2017397431026343,768013.8535260091
0.20209476237008275,759098.6644151572
0.20245040639633313,750167.7864575913
0.20280667628082896,741346.6505354111
0.20316357312494882,732820.0406878274
0.20352109803200827,724278.4258108247
0.20387925210726554,715721.7794987173
0.20423803645792354,707584.115481095
0.20459745219313402,699550.9657605508
0.2049575004239995,691503.6793960138
0.2053181822635789,683442.2315099724
0.20567949882688977,675419.6345925854
0.20604145123091103,667852.1595052541
0.206404040594588,660271.3672627581
0.2067672680388354,652677.2344297124
0.2071311346865393,645069.7375295173
0.20749564166256285,637673.8594826834
0.2078607900937489,630533.2994362453
0.20822658110892198,623380.1735148022
0.20859301583889436,616214.4596050655
0.20896009541646832,609036.135554831
0.20932782097643843,602240.5599038431
0.20969619365559744,595503.619029442
0.21006521459273822,588754.8225643805
0.21043488492865803,581994.1496453207
0.21080520580616052,575343.8293159095
0.21117617837006175,568999.6539696789
0.21154780376719218,562644.3142170182
0.21192008314639948,556277.7904109451
0.2122930176585541,549900.062869887
0.21266660845655183,543820.1614688499
0.2130408566953161,537836.143179217
0.21341576353180405,531841.5942833831
0.21379133012500862,525836.496249704
0.2141675576359613,519917.07579189923
0.21454444722773788,514283.4943482339
0.21492200006546064,508639.99899307755
0.21530021731630242,502986.57228003786
0.21567910014948896,497323.19673203817
0.21605864973630484,491939.75128081825
0.2164388672500957,486627.5701822251
0.21681975386627098,481306.0407687578
0.21720131076230967,475975.1465893556
0.21758353911776293,470776.88355218316
0.2179664401142565,465828.85152978403
0.21835001493549674,460872.11201783945
0.21873426476727298,455906.64969300554
0.21911919079746014,450932.4492049873
0.21950479421602487,446049.71363826835
0.21989107621502732,441433.85706201586
0.22027803798862586,436809.8775547236
0.2206656807330793,432177.7608217598
0.22105400564675257,427537.4925433249
0.22144301393011961,422968.1006398859
0.22183270678576572,418663.2316625807
0.22222308541839367,414350.7870266208
0.2226141510348262,410030.7534004461
0.2230059048440088,405703.11742904695
0.22339834805701536,401442.601734304
0.2237914818870513,397428.89311886515
0.22418530754945562,393408.1212254145
0.22457982626170733,389380.27362407284
0.22497503924342752,385345.33786309155
0.225370947716384,381387.3507878672
0.2257675529044934,377646.2486127333
0.22616485603382738,373898.5628892457
0.22656285833261525,370144.28203174775
0.2269615610312465,366383.3944342067
0.2273609653622771,362720.0613831986
0.2277610725604321,359234.20334907505
0.228161883862608,355742.2109422897
0.22856340050787943,352244.0733676398
0.22896562373750137,348739.7798109276
0.22936855479491197,345362.0073587204
0.22977219492573883,342115.1463373284
0.23017654537780155,338862.571527447
0.23058160740111439,335604.2728740242
0.23098738224789261,332340.2403043024
0.23139387117255478,329237.9843124652
0.23180107543172726,326214.91680082364
0.2322089962842466,323186.52932993026
0.2326176349911659,320152.8125377792
0.23302699281575748,317113.75704588933
0.23343707102351552,314276.2551265388
0.2338478708821623,311462.7542921397
0.23425939366165124,308644.30229149805
0.23467164063416915,305820.8904116151
0.235084613074143,303021.1314812594
0.23549831225824244,300408.48221342824
0.23591273946538255,297791.235235625
0.23632789597673032,295169.38245684985
0.2367437830757068,292542.91577186814
0.23716040204799207,289998.82459845545
0.23757775418152755,287569.6488658401
0.23799584076652228,285136.19829785585
0.2384146630954559,282698.46537169477
0.23883422246308125,280256.44255131687
0.2392545201664309,277955.3104734679
0.23967555750481995,275697.9718054873
0.24009733577984876,273436.6606990198
0.24051985629540945,271171.37016341195
0.24094312035768878,268923.9045384429
0.24136712927517082,266831.1970152671
0.24179188435864354,264734.8067695875
0.24221738692120126,262634.7273205915
0.24264363827824947,260530.9521760594
0.24307063974750714,258512.39208441734
0.24349839264901355,256570.1793558988
0.2439268983051309,254624.54874387413
0.24435615804054714,252675.4942335953
0.2447861731822828,250723.00979972366
0.2452169450596936,248920.16807188577
0.24564847500447332,247118.933054972
0.24608076435066067,245314.5282455006
0.24651381443464182,243506.9480653059
0.24694762659515354,241769.6834865772
0.24738220217328966,240119.70813043384
0.24781754251250374,238466.82916673523
0.24825364895861396,236811.0414857447
0.2486905228598054,235152.33996873882
0.24912816556663714,233555.92697785268
0.24956657843204494,232043.51156289427
0.25000576281134396,230528.43461677636
0.250445720062236,229010.6914557656
0.2508864515448119,227490.27738788628
0.2513279586215547,226031.10783359493
0.2517702426573466,224646.4788488254
0.2522133050194716,223259.4132099759
0.2526571470776184,221869.90662905338
0.2531017702038876,220477.9548105148
0.2535471757727942,219151.67241857186
0.2539933651612708,217885.76333515983
0.2544403397486745,216617.62651957903
0.2548881009167894,215347.258051492
0.25533665004983147,214074.65400366113
0.2557859885344514,212876.32928228017
0.25623611775974137,211720.72952249544
0.2566870391172382,210563.09615161296
0.2571387540009261,209403.42559090987
0.25759126380724373,208241.71425536167
0.2580445699350871,207165.9938687744
0.2584986737858128,206112.90145935758
0.25895357676324476,205057.9558300942
0.2594092802736775,204001.15371970835
0.25986578572587854,202942.4918611883
0.2603230945310965,201983.7256077451
0.2607812081030625,201025.9032517051
0.26124012785799633,200066.3953309561
0.26169985521460853,199105.19887926267
0.2621603915941077,198162.3977489771
0.2626217384202033,197294.65910544997
0.26308389711910907,196425.39342549152
0.2635468691195498,195554.5980218397
0.2640106558527646,194682.27020250354
0.2644752587525098,193851.4847841197
0.2649406792550664,193065.9309173281
0.2654069187992429,192278.99464192323
0.2658739788263781,191490.67352516012
0.26634186078034905,190700.9651300101
0.2668105661075731,189980.21237329135
0.2672800962570134,189276.73868856608
0.2677504526801816,188572.02703898447
0.26822163683114514,187866.07524598966
0.26869365016653035,187158.88112719086
0.26916649414552535,186515.88319069365
0.26964017022988773,185888.41010645503
0.2701146798839473,185259.8328023368
0.27059002457460946,184630.14933514688
0.2710662057713624,183999.3577582716
0.2715432249462804,183431.03415732912
0.27202108357402677,182873.94655299402
0.2724997831318614,182315.87859233367
0.27297932509964373,181756.8285501279
0.2734597109598362,181196.79469812202
0.2739409421975113,180699.80566807307
0.27442302030035454,180207.9175125973
0.27490594675867003,179715.16373803222
0.2753897230653829,179221.5428210722
0.27587435071604705,178728.6044407502
0.27635983120884816,178297.8840911998
0.27684616604460704,177866.40576495856
0.277333356726787,177434.16812814743
0.27782140476149714,177001.16984454
0.2783103116574956,176577.2735255927
0.278800078926197,176202.4412558883
0.2792907080816758,175826.94936068897
0.2797822006406694,175450.79667919417
0.2802745581225858,175073.9820485595
0.28076778204950636,174715.09402408937
0.2812618739461915,174392.0719422613
0.28175683534008333,174068.4814099086
0.2822526677613135,173744.32142667833
0.28274937274270645,173419.5909904571
0.28324695181978227,173121.70800429094
0.28374540653076513,172846.73023124848
0.2842447384165858,172571.26855550005
0.2847449490208856,172295.32212547967
0.28524603989002345,172018.8900881222
0.28574801257307986,171778.07652921657
0.28625086862185967,171547.6654340948
0.28675460959090027,171316.84886419182
0.2872592370374741,171085.62610595772
0.2877647525215945,170855.13759907152
0.2882711576060187,170666.41395714524
0.2887784538562555,170477.35820153583
0.2892866428405688,170287.96974779337
0.28979572612998067,170098.24801043983
0.2903057052982793,169920.52412798148
0.2908165819220226,169770.1230552188
0.29132835758054115,169619.45730838733
0.2918410338559466,169468.5264217165
0.29235461233313464,169317.32992861618
0.2928690945997883,169188.54307900908
0.29338448224638664,169073.73132110148
0.29390077686620664,168958.71751878966
0.2944179800553299,168843.50131651832
0.29493609341264504,168728.08235810633
0.29545511853985607,168644.57494491612
0.2959750570414857,168562.82882988424
0.2964959105248785,168480.93885898433
0.2970176806002095,168398.9047790604
0.29754036888048696,168325.93931031186
0.2980639769815563,168275.01838843848
0.29858850652210817,168224.0078565155
0.29911395912368144,168172.90755684816
0.29964033641066734,168121.71733146434
0.3001676400103171,168089.6173745707
0.3006958715527454,168067.23061850425
0.3012250326709343,168044.80446648342
0.301755125000741,168022.33884917942
0.3022861501809008,168001.14745140827
0.3028181098530337,168005.3050528759
0.30335100566164663,168009.4699708425
0.3038848392541424,168013.64221818358
0.30441961228082276,168017.82180779724
0.304955326394892,168033.07227669723
0.3054919832524653,168061.8052048052
0.3060295845125725,168090.58869678786
0.3065681318371611,168119.42284162686
0.3071076268911049,168148.30772846064
0.3076480713422077,168197.23103716093
0.3081894668612065,168248.75626736914
0.30873181512178016,168300.3721710818
0.30927511780055233,168352.07890786507
0.30981937657709757,168411.337142367
0.31036459313394466,168483.890590467
0.31091076915658483,168556.57171728602
0.3114579063334755,168629.38074751184
0.3120060063560436,168702.31790622717
0.3125550709186944,168792.21279716725
0.313105101718815,168884.77440773958
0.3136561004567778,168977.49890716394
0.3142080688359491,169070.38658209034
0.3147610085626929,169169.03940142255
0.31531492134637434,169280.0865752111
0.31586980889936833,169391.3291685322
0.3164256729370626,169502.76752528278
0.3169825151778642,169614.40198996535
0.31754033734320253,169738.76772019817
0.318099141157538,169867.2403602013
0.3186589283483658,169995.9390848711
0.3192197006462193,170124.86429206847
0.3197814597846791,170257.25938430973
0.32034420750037634,170401.77480853305
0.3209079455329968,170546.54454932892
0.32147267562528925,170691.56905424083
0.3220383995230694,170836.84877159988
0.3226051189752236,170991.6475195324
0.3231728357337174,171151.39198939136
0.32374155155359896,171311.41757572148
0.32431126819300565,171471.7247732284
0.3248819874131668,171633.74406128828
0.32545371097841314,171807.45274948602
0.32602644065618,171981.46712822505
0.3266001782170115,172155.78773545573
0.32717492543456916,172330.41511007553
0.32775068408563574,172511.85883594275
0.3283274559501191,172698.92890610048
0.3289052428110611,172886.32818000487
0.32948404645464135,173074.0572369849
0.330063868670181,173262.11665738886
0.3306447112501518,173461.064670189
0.3312265759901799,173660.5783614091
0.3318094646890495,173860.4431545161
0.33239337914871214,174060.65966737515
0.3329783211742899,174265.5643211922
0.3335642925740819,174476.30835311866
0.33415129515956776,174687.42324995567
0.3347393307454168,174898.90966434736
0.3353284011494917,175110.76825008608
0.33591850819285235,175331.3975671089
0.3365096536997653,175552.95749412078
0.3371018394977072,175774.90731973082
0.3376950674173691,175997.24773007756
0.3382893392926652,176223.81588544254
0.3388846569607372,176455.08907247425
0.33948102226195803,176686.76925138634
0.34007843703994095,176918.85713839866
0.3406769031415429,177151.6283640784
0.3412764224168718,177391.94974900858
0.34187699671928934,177632.6940487332
0.3424786279054206,177873.862007493
0.34308131783515783,178115.45437083862
0.34368506837166474,178361.7632302024
0.34428988138138533,178610.96623712307
0.3448957587340484,178860.60778861438
0.345502702302671,179110.68865642144
0.3461107139635684,179362.84688647385
0.3467197955963575,179619.95854455448
0.3473299490839614,179877.52266475811
0.34794117631261834,180135.5400433226
0.3485534791718854,180394.01147788667
0.3491668595546455,180658.13278039015
0.3497813193571108,180923.11892548142
0.35039686047883234,181188.57139012706
