Epsilon_alpha,Time [Days]
2363692.3438467486,3.008730974773807e-05
2405530.835819609,3.0140257304098407e-05
2448500.583194834,3.0193298037407695e-05
2491631.4886714704,3.0246432111638454e-05
2535860.190569784,3.0299659691051744e-05
2580318.732209721,3.035298094019771e-05
2625831.294057732,3.040639602391606e-05
2671653.331323255,3.0459905107336584e-05
2718474.8955352684,3.0513508355879687e-05
2765696.9254640015,3.056720593525685e-05
2813852.8709081355,3.0620998011471196e-05
2862512.0287696933,3.0674884750817976e-05
2912027.9702444226,3.072886631988508e-05
2962162.03008234,3.0782942885553554e-05
3013063.817803299,3.083711461499814e-05
3064711.192863806,3.089138167568775e-05
3117024.9119579424,3.0945744235386036e-05
3170224.6550046983,3.100020246215185e-05
3223976.6250104387,3.1054756524339814e-05
3278768.4285256397,3.110940659060081e-05
3333985.2028975543,3.116415282988251e-05
3390409.3991692583,3.1218995411429923e-05
3447117.7647856483,3.127393450478585e-05
3505215.325880408,3.13289702797915e-05
3563587.003439442,3.138410290658693e-05
3623254.8401739923,3.143933255561163e-05
3683359.0250496976,3.149465939760502e-05
3744597.445388996,3.1550083603607016e-05
3806476.8449093243,3.160560534495847e-05
3869313.5158282565,3.1661224793301826e-05
3933011.4767506886,3.171694212058154e-05
3997474.295783072,3.177275749904465e-05
4063034.8036995265,3.182867110124135e-05
4129151.8984428663,3.188468310002547e-05
4196775.2481384445,3.194079366855501e-05
4264757.826336304,3.1997002980292715e-05
4334176.27673793,3.2053311209006596e-05
4404060.138411388,3.210971852877043e-05
4475316.3340968955,3.2166225113964365e-05
4547136.342613774,3.2222831139275375e-05
4620276.050809756,3.22795367796979e-05
4694067.351383058,3.2336342210534314e-05
4769143.791504476,3.239324760739546e-05
4844951.932017399,3.245025314620126e-05
4921995.096157941,3.250735900318121e-05
4999856.031103226,3.256456535487492e-05
5078914.047961682,3.2621872378132676e-05
5158864.002131683,3.267928025011601e-05
5239985.816808837,3.273678914829818e-05
5322061.28425343,3.2794399250464806e-05
5405296.657216544,3.285211073471433e-05
5489534.3997689495,3.2909923779458655e-05
5574933.905419316,3.296783856342362e-05
5661370.951140357,3.3025855265649606e-05
5748985.976137595,3.3083974065492045e-05
5837659.61775271,3.3142195142622014e-05
5927542.359138454,3.32005186770268e-05
6018490.152488818,3.325894484901036e-05
6110693.615627367,3.331747383919403e-05
6203953.378140874,3.3376105828516943e-05
6298531.374488154,3.3434840998236694e-05
6394141.183675536,3.349367952992981e-05
6491178.023904303,3.3552621605492394e-05
6589225.783541415,3.361166740714062e-05
6688699.506314171,3.367081711741136e-05
6789225.224146298,3.373007091916267e-05
6891191.842211555,3.378942899557443e-05
6994235.81730293,3.3848891530148864e-05
7098752.151853046,3.3908458706711146e-05
7204354.97683932,3.3968130709409914e-05
7311478.656330049,3.402790772271789e-05
7419681.2180908695,3.408778993143243e-05
7529514.957464785,3.4147777520676075e-05
7640430.092421786,3.420787067589718e-05
7752917.120897161,3.4268069582870415e-05
7866587.718930007,3.432837442769741e-05
7981788.298202293,3.438878539680726e-05
8098257.502173857,3.4449302676957176e-05
8216232.768045666,3.450992645523299e-05
8335543.975260677,3.457065691904977e-05
8456355.934805619,3.463149425615243e-05
8578552.796322122,3.4692438654616244e-05
8702264.323939914,3.475349030284747e-05
8827390.743507681,3.481464938958392e-05
8954065.576694114,3.487591610389556e-05
9082165.709683267,3.4937290635185055e-05
9211868.444710495,3.49987731731884e-05
9342986.697110496,3.506036390797549e-05
9475782.784670532,3.51220630299507e-05
9609963.812170984,3.5183870729853466e-05
9746067.78411158,3.524578719875888e-05
9883610.354365643,3.530781262807834e-05
10022660.60244518,3.5369947209560014e-05
10163617.045615962,3.543219113528957e-05
10305679.449114721,3.549454459769067e-05
10450102.387190543,3.555700778952563e-05
10595243.858049758,3.5619580903895955e-05
10743186.213002123,3.5682264134243017e-05
10891474.694889495,3.5745057674348544e-05
11042989.689883778,3.5807961718335344e-05
11194771.32041131,3.5870976460667796e-05
11349635.313969431,3.5934102096152515e-05
11505049.490158921,3.599733881993893e-05
11663246.90621229,3.6060686827519904e-05
11822347.548017517,3.612414631473232e-05
11983949.607774109,3.618771747775769e-05
12146790.93641507,3.625140051312277e-05
