file,Ye,R_velocity_km_s,R0_km,density_init_g_cm3,T9_init_GK
traj0051.dat,0.12000,4.500e+04,50.0,8.000e+12,12.00
traj0052.dat,0.12000,4.500e+04,50.0,1.000e+13,10.00
traj0053.dat,0.12000,4.500e+04,50.0,1.000e+13,11.00
traj0054.dat,0.12000,4.500e+04,50.0,1.000e+13,12.00
traj0055.dat,0.12000,4.500e+04,50.0,1.200e+13,10.00
traj0056.dat,0.12000,4.500e+04,50.0,1.200e+13,11.00
traj0057.dat,0.12000,4.500e+04,50.0,1.200e+13,12.00
traj0058.dat,0.12000,4.500e+04,50.0,1.400e+13,10.00
traj0059.dat,0.12000,4.500e+04,50.0,1.400e+13,11.00
traj0060.dat,0.12000,4.500e+04,50.0,1.400e+13,12.00
traj0061.dat,0.12000,5.000e+04,50.0,8.000e+12,10.00
traj0062.dat,0.12000,5.000e+04,50.0,8.000e+12,11.00
traj0063.dat,0.12000,5.000e+04,50.0,8.000e+12,12.00
traj0064.dat,0.12000,5.000e+04,50.0,1.000e+13,10.00
traj0065.dat,0.12000,5.000e+04,50.0,1.000e+13,11.00
traj0066.dat,0.12000,5.000e+04,50.0,1.000e+13,12.00
traj0067.dat,0.12000,5.000e+04,50.0,1.200e+13,10.00
traj0068.dat,0.12000,5.000e+04,50.0,1.200e+13,11.00
traj0069.dat,0.12000,5.000e+04,50.0,1.200e+13,12.00
traj0070.dat,0.12000,5.000e+04,50.0,1.400e+13,10.00
traj0071.dat,0.12000,5.000e+04,50.0,1.400e+13,11.00
traj0072.dat,0.12000,5.000e+04,50.0,1.400e+13,12.00
traj0073.dat,0.21000,4.000e+04,50.0,8.000e+12,10.00
traj0074.dat,0.21000,4.000e+04,50.0,8.000e+12,11.00
traj0075.dat,0.21000,4.000e+04,50.0,8.000e+12,12.00
traj0076.dat,0.21000,4.000e+04,50.0,1.000e+13,10.00
traj0077.dat,0.21000,4.000e+04,50.0,1.000e+13,11.00
traj0078.dat,0.21000,4.000e+04,50.0,1.000e+13,12.00
traj0079.dat,0.21000,4.000e+04,50.0,1.200e+13,10.00
traj0080.dat,0.21000,4.000e+04,50.0,1.200e+13,11.00
traj0081.dat,0.21000,4.000e+04,50.0,1.200e+13,12.00
traj0082.dat,0.21000,4.000e+04,50.0,1.400e+13,10.00
traj0083.dat,0.21000,4.000e+04,50.0,1.400e+13,11.00
traj0084.dat,0.21000,4.000e+04,50.0,1.400e+13,12.00
traj0085.dat,0.21000,4.500e+04,50.0,8.000e+12,10.00
traj0086.dat,0.21000,4.500e+04,50.0,8.000e+12,11.00
traj0087.dat,0.21000,4.500e+04,50.0,8.000e+12,12.00
traj0088.dat,0.21000,4.500e+04,50.0,1.000e+13,10.00
traj0089.dat,0.21000,4.500e+04,50.0,1.000e+13,11.00
traj0090.dat,0.21000,4.500e+04,50.0,1.000e+13,12.00
traj0091.dat,0.21000,4.500e+04,50.0,1.200e+13,10.00
traj0092.dat,0.21000,4.500e+04,50.0,1.200e+13,11.00
traj0093.dat,0.21000,4.500e+04,50.0,1.200e+13,12.00
traj0094.dat,0.21000,4.500e+04,50.0,1.400e+13,10.00
traj0095.dat,0.21000,4.500e+04,50.0,1.400e+13,11.00
traj0096.dat,0.21000,4.500e+04,50.0,1.400e+13,12.00
traj0097.dat,0.21000,5.000e+04,50.0,8.000e+12,10.00
traj0098.dat,0.21000,5.000e+04,50.0,8.000e+12,11.00
traj0099.dat,0.21000,5.000e+04,50.0,8.000e+12,12.00
traj0100.dat,0.21000,5.000e+04,50.0,1.000e+13,10.00
traj0101.dat,0.21000,5.000e+04,50.0,1.000e+13,11.00
traj0102.dat,0.21000,5.000e+04,50.0,1.000e+13,12.00
traj0103.dat,0.21000,5.000e+04,50.0,1.200e+13,10.00
traj0104.dat,0.21000,5.000e+04,50.0,1.200e+13,11.00
traj0105.dat,0.21000,5.000e+04,50.0,1.200e+13,12.00
traj0106.dat,0.21000,5.000e+04,50.0,1.400e+13,10.00
traj0107.dat,0.21000,5.000e+04,50.0,1.400e+13,11.00
traj0108.dat,0.21000,5.000e+04,50.0,1.400e+13,12.00
traj0109.dat,0.30000,4.000e+04,50.0,8.000e+12,10.00
traj0110.dat,0.30000,4.000e+04,50.0,8.000e+12,11.00
traj0111.dat,0.30000,4.000e+04,50.0,8.000e+12,12.00
traj0112.dat,0.30000,4.000e+04,50.0,1.000e+13,10.00
traj0113.dat,0.30000,4.000e+04,50.0,1.000e+13,11.00
traj0114.dat,0.30000,4.000e+04,50.0,1.000e+13,12.00
traj0115.dat,0.30000,4.000e+04,50.0,1.200e+13,10.00
traj0116.dat,0.30000,4.000e+04,50.0,1.200e+13,11.00
traj0117.dat,0.30000,4.000e+04,50.0,1.200e+13,12.00
traj0118.dat,0.30000,4.000e+04,50.0,1.400e+13,10.00
traj0119.dat,0.30000,4.000e+04,50.0,1.400e+13,11.00
traj0120.dat,0.30000,4.000e+04,50.0,1.400e+13,12.00
traj0121.dat,0.30000,4.500e+04,50.0,8.000e+12,10.00
traj0122.dat,0.30000,4.500e+04,50.0,8.000e+12,11.00
traj0123.dat,0.30000,4.500e+04,50.0,8.000e+12,12.00
traj0124.dat,0.30000,4.500e+04,50.0,1.000e+13,10.00
traj0125.dat,0.30000,4.500e+04,50.0,1.000e+13,11.00
traj0126.dat,0.30000,4.500e+04,50.0,1.000e+13,12.00
traj0127.dat,0.30000,4.500e+04,50.0,1.200e+13,10.00
traj0128.dat,0.30000,4.500e+04,50.0,1.200e+13,11.00
traj0129.dat,0.30000,4.500e+04,50.0,1.200e+13,12.00
traj0130.dat,0.30000,4.500e+04,50.0,1.400e+13,10.00
traj0131.dat,0.30000,4.500e+04,50.0,1.400e+13,11.00
traj0132.dat,0.30000,4.500e+04,50.0,1.400e+13,12.00
traj0133.dat,0.30000,5.000e+04,50.0,8.000e+12,10.00
traj0134.dat,0.30000,5.000e+04,50.0,8.000e+12,11.00
traj0135.dat,0.30000,5.000e+04,50.0,8.000e+12,12.00
traj0136.dat,0.30000,5.000e+04,50.0,1.000e+13,10.00
traj0137.dat,0.30000,5.000e+04,50.0,1.000e+13,11.00
traj0138.dat,0.30000,5.000e+04,50.0,1.000e+13,12.00
traj0139.dat,0.30000,5.000e+04,50.0,1.200e+13,10.00
traj0140.dat,0.30000,5.000e+04,50.0,1.200e+13,11.00
traj0141.dat,0.30000,5.000e+04,50.0,1.200e+13,12.00
traj0142.dat,0.30000,5.000e+04,50.0,1.400e+13,10.00
traj0143.dat,0.30000,5.000e+04,50.0,1.400e+13,11.00
traj0144.dat,0.30000,5.000e+04,50.0,1.400e+13,12.00
