time_days,Pa234 top 6
0.03575972656083599,1045519.3540218568
0.03582265641908366,1047315.0148078619
0.0358856970211049,1049113.8355922687
0.035948848561786206,1050914.766973506
0.03601211123635704,1052718.8610639514
0.03607548524039061,1054526.1299937023
0.03613897076980408,1056336.2586522512
0.03620256802085944,1058148.8256404935
0.03626627719016421,1059964.5823786212
0.036330098474671724,1061783.5344799443
0.0363940320716819,1063605.0100011174
0.0364580781788421,1065429.2943971208
0.03652223699414724,1067256.7891632663
0.036586508715940734,1069087.4999491519
0.0366508935429152,1070920.3682011745
0.036715391674112724,1072756.4457394357
0.03678000330892567,1074595.754401374
0.03684472864709749,1076437.906447027
0.03690956788872293,1078282.607053221
0.036974521234248894,1080130.5539579396
0.03703958888447521,1081981.7528740137
0.03710477104055487,1083835.376456936
0.03717006790399485,1085692.0021608975
0.03723547967665697,1087551.8951491388
0.037301006560758056,1089414.8578128621
0.037366648758870795,1091280.20306313
0.037432406473924575,1093148.830942308
0.03749827990920569,1095020.7472271558
0.03756426926835818,1096895.1220279254
0.037630374755384645,1098772.3046173744
0.03769659657464651,1100652.790667046
0.03776293493086482,1102536.5859903577
0.037829390029121085,1104423.171294976
0.03789596207485753,1106312.266320291
0.037962651273877906,1108204.685769295
0.03802945783234834,1110100.4354923025
0.03809638195679756,1111999.2688902651
0.03816342385411778,1113900.351924097
0.03823058373156544,1115804.7804780821
0.03829786179676156,1117712.5604396556
0.03836525825769251,1119623.679816874
0.038432773322710896,1121536.8269107514
0.038500407200535734,1123453.3407550768
0.0385681601002534,1125373.227274646
0.038636032231318375,1127296.492404686
0.03870402380355356,1129221.9585027085
0.0387721350271511,1131150.6343053752
0.03884036611267323,1133082.7041858663
0.038908717271052544,1135018.1741170683
0.03897718871359281,1136956.01567372
0.039045780651969876,1138896.9305883045
0.03911449329823187,1140841.2611190635
0.039183326864800104,1142789.0132767865
0.039252281564469894,1144739.2691596488
0.03932135761041085,1146692.500828236
0.03939055521616768,1148649.1697879822
0.03945987459566114,1150609.2820878262
0.0395293159631882,1152571.9914693052
0.03959887953342297,1154537.6180254368
0.03966856552141754,1156506.7036852168
0.03973837414260223,1158479.254535964
0.0398083056127865,1160454.456895288
0.03987836014815978,1162432.5569669267
0.039948537965291755,1164414.1380930664
0.04001883928113321,1166399.206399654
0.04008926431301694,1168386.9415248688
0.040159813278658,1170377.5942373408
0.040230486396154556,1172371.7500944112
0.04030128388398882,1174369.4152609073
0.04037220596102725,1176369.723250835
0.0404432528465215,1178373.0082298056
0.040514424760109226,1180379.8185836028
0.04058572192181444,1182390.1605161692
0.040657144552048316,1184403.0817823766
0.040728692871610135,1186419.079156822
0.04080036710168752,1188438.6242773272
0.04087216746385735,1190461.723387203
0.04094409418008663,1192487.29865595
0.04101614747273279,1194516.089061116
0.04108832756454455,1196548.4497254763
0.04116063467866284,1198584.3869319665
0.041233069038621055,1200622.6572461175
0.04130563086834597,1202664.3218265006
0.04137832039215862,1204709.5793220166
0.04145113783477463,1206758.4317270874
0.04152408342130503,1208809.4427763901
0.04159715737725724,1210864.0631887135
0.041670359928535315,1212922.2993158011
0.04174369130144084,1214983.9161808046
0.041817151722673855,1217047.9423300258
0.04189074141933317,1219115.600746199
0.04196446061891719,1221186.897821374
0.04203830954932493,1223261.3210668373
0.04211228843885622,1225338.4448607878
0.042186397516212656,1227419.2239708835
0.042260637010498536,1229503.664829743
0.04233500715122109,1231590.936699967
0.042409508168291456,1233681.241203666
0.042484140292025574,1235775.2242188873
0.042558903753144486,1237872.8922190622
0.04263379878277524,1239973.0552838945
0.042708825612451866,1242076.6240855278
0.04278398447411559,1244183.8947411522
