#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 2.6441688836620326E-04    4.4464781697160989E+00    9.6786806975511860E+15    1.0391463310928042E+17    3.2353178901827115E-12    3.2353179141083812E-12    2.1260526697423632E+15    2.8862783769203484E+16    1.8516403799071756E+11    7.9109291715543337E+09    1.0391463310928042E+17    1.0408550585142796E+10    1.0390564142853950E+17    1.0391463310928042E+17    8.0906409861982722E-04    1.0391463310928042E+17    1.0391463310928042E+17    1.0391463310928042E+17    1.0391463310928042E+17
 2.7699021077494228E-04    4.3153029045797453E+00    4.3580473441371736E+16    1.0391463312311547E+17    3.3179029910203179E-12    3.3179030145632025E-12    5.2980569536043200E+15    7.7010280937079456E+16    1.4055859907867002E+12    2.0254090149066620E+10    1.0391463312311547E+17    7.5167203711218048E+10    1.0391159921447406E+17    1.0391463312311547E+17    8.1192238346100044E-04    1.0391463312311547E+17    1.0391463312311547E+17    1.0391463312311547E+17    1.0391463312311547E+17
 2.7729367675173209E-04    4.3121094216205718E+00    4.4818906302087160E+16    1.0391463312386792E+17    3.3205380840169589E-12    3.3205381073332054E-12    5.4158180088568630E+15    7.8000581572066304E+16    1.4787797690009614E+12    2.0726521394129677E+10    1.0391463312386792E+17    7.8990859715856369E+10    1.0391167947258501E+17    1.0391463312386792E+17    8.1199436566160355E-04    1.0391463312386792E+17    1.0391463312386792E+17    1.0391463312386792E+17    1.0391463312386792E+17
 2.8409029227432678E-04    4.2393163941050638E+00    7.2823537596060496E+16    1.0391463312315085E+17    3.3908058791242432E-12    3.3908059023349352E-12    8.8748503753186310E+15    9.4161304209709616E+16    4.7952909634759951E+12    3.5099009018578110E+10    1.0391463312315085E+17    2.4945783151307193E+11    1.0391303608846094E+17    1.0391463312315085E+17    8.1365274600382371E-04    1.0391463312315085E+17    1.0391463312315085E+17    1.0391463312315085E+17    1.0391463312315085E+17
 2.9500864140233167E-04    4.1234173652099644E+00    9.7390519972034448E+16    1.0391463315856774E+17    3.5375589304681872E-12    3.5375589546856093E-12    1.8840211866699116E+16    1.0237949657541227E+17    3.3669188842390945E+13    8.2824176868628250E+10    1.0391463315856774E+17    1.6645531837590076E+12    1.0391405068337050E+17    1.0391463315856774E+17    8.1646567087571246E-04    1.0391463315856774E+17    1.0391463315856774E+17    1.0391463315856774E+17    1.0391463315856774E+17
 3.0497659217195865E-04    4.0282322130778789E+00    1.0247124780977326E+17    1.0391463313980165E+17    3.6818824110940210E-12    3.6818824380070902E-12    3.2905143947644316E+16    1.0361944507082222E+17    1.7876589604202950E+14    1.7255783862687982E+11    1.0391463313980165E+17    8.2999053711045566E+12    1.0391438800421258E+17    1.0391463313980165E+17    8.1910554291772281E-04    1.0391463313980165E+17    1.0391463313980165E+17    1.0391463313980165E+17    1.0391463313980165E+17
 3.1568212421767577E-04    3.9427346850590101E+00    1.0356243431680326E+17    1.0391463313964707E+17    3.8216946837692134E-12    3.8216947134585488E-12    4.9957003966232768E+16    1.0386463048529320E+17    8.4271756062139438E+14    3.4341495619469122E+11    1.0391463313964707E+17    3.5997370074172898E+13    1.0391452432506950E+17    1.0391463313964707E+17    8.2193550365748354E-04    1.0391463313964707E+17    1.0391463313964707E+17    1.0391463313964707E+17    1.0391463313964707E+17
 3.2713718831178193E-04    3.8531771721735653E+00    1.0383745432552565E+17    1.0391463317391725E+17    4.0084675795290820E-12    4.0084676109520159E-12    6.8820507497870032E+16    1.0390609793681488E+17    4.4439015346330010E+15    7.2421926307197095E+11    1.0391463317391725E+17    1.7279444371338219E+14    1.0391458817214621E+17    1.0391463317391725E+17    8.2504876322143483E-04    1.0391463317391725E+17    1.0391463317391725E+17    1.0391463317391725E+17    1.0391463317391725E+17
 3.3639089307478556E-04    3.7706565356952506E+00    1.0389651537731022E+17    1.0391463315821622E+17    4.2454039605520469E-12    4.2454039939157759E-12    8.3122478085996768E+16    1.0391296581101594E+17    1.9384235884958972E+16    1.4699743049019148E+12    1.0391463315821622E+17    7.6273017603503775E+14    1.0391461374717016E+17    1.0391463315821622E+17    8.2771046833114757E-04    1.0391463315821622E+17    1.0391463315821622E+17    1.0391463315821622E+17    1.0391463315821622E+17
 3.4775463379678343E-04    3.6665621157947608E+00    1.0391189073144080E+17    2.4767286930082764E+16    4.6190045296295495E-12    4.6190045691592153E-12    9.4628343261802912E+16    1.0391462912517760E+17    6.9114775352560544E+16    3.7251962967544312E+12    4.1619768697248360E+10    5.0393240501781110E+15    1.0391462673283003E+17    1.0391457070541200E+17    8.3109678835773632E-04    1.0391463315498960E+17    1.0391463315498960E+17    1.0391463315498960E+17    1.0391463315498960E+17
